Station Name: BENNETTSBRIDGE G.S.
Station Height: 37 M 
Latitude:52.587  ,Longitude: -7.183


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
11-jun-1996,0,0.000
12-jun-1996,0,0.000
13-jun-1996,0,0.000
14-jun-1996,0,0.000
15-jun-1996,0,0.000
16-jun-1996,0,0.000
17-jun-1996,0,0.000
18-jun-1996,0,0.000
19-jun-1996,0,0.000
20-jun-1996,0,0.000
21-jun-1996,0,0.000
22-jun-1996,0,0.000
23-jun-1996,0,0.000
24-jun-1996,0,0.000
25-jun-1996,0,2.200
26-jun-1996,1,0.000
27-jun-1996,1,2.600
28-jun-1996,1,0.000
29-jun-1996,0,0.000
30-jun-1996,1,1.500
01-jul-1996,1,0.800
02-jul-1996,1,18.800
03-jul-1996,1,0.100
04-jul-1996,1,0.000
05-jul-1996,1,0.800
06-jul-1996,1,3.600
07-jul-1996,1,0.000
08-jul-1996,1,0.000
09-jul-1996,1,0.000
10-jul-1996,1,0.000
11-jul-1996,1,1.100
12-jul-1996,1,0.000
13-jul-1996,1,0.000
14-jul-1996,1,0.000
15-jul-1996,1,0.000
16-jul-1996,1,0.000
17-jul-1996,1,0.000
18-jul-1996,1,0.000
19-jul-1996,1,0.000
20-jul-1996,1,0.000
21-jul-1996,1,38.000
22-jul-1996,1,1.300
23-jul-1996,1,0.000
24-jul-1996,1,0.000
25-jul-1996,1,0.000
26-jul-1996,1,1.300
27-jul-1996,1,2.300
28-jul-1996,1,3.000
29-jul-1996,1,3.800
30-jul-1996,1,3.100
31-jul-1996,1,0.400
01-aug-1996,1,0.100
02-aug-1996,1,0.000
03-aug-1996,1,0.000
04-aug-1996,1,0.400
05-aug-1996,1,27.100
06-aug-1996,1,0.000
07-aug-1996,1,3.400
08-aug-1996,1,4.200
09-aug-1996,1,9.300
10-aug-1996,1,8.200
11-aug-1996,1,0.000
12-aug-1996,1,0.000
13-aug-1996,1,0.000
14-aug-1996,1,0.000
15-aug-1996,1,0.000
16-aug-1996,1,0.000
17-aug-1996,1,0.000
18-aug-1996,1,3.100
19-aug-1996,1,0.100
20-aug-1996,1,0.900
21-aug-1996,1,11.800
22-aug-1996,1,10.600
23-aug-1996,1,6.300
24-aug-1996,1,3.600
25-aug-1996,1,0.400
26-aug-1996,1,0.600
27-aug-1996,1,1.400
28-aug-1996,1,0.000
29-aug-1996,1,0.100
30-aug-1996,1,0.000
31-aug-1996,1,0.000
01-sep-1996,0,0.000
02-sep-1996,0,0.000
03-sep-1996,0,0.000
04-sep-1996,0,0.000
05-sep-1996,0,0.000
06-sep-1996,0,0.000
07-sep-1996,0,0.000
08-sep-1996,0,0.000
09-sep-1996,0,0.000
10-sep-1996,0,0.000
11-sep-1996,0,0.000
12-sep-1996,0,0.000
13-sep-1996,0,0.000
14-sep-1996,0,0.000
15-sep-1996,0,0.000
16-sep-1996,0,0.000
17-sep-1996,0,0.000
18-sep-1996,0,0.000
19-sep-1996,0,0.000
20-sep-1996,0,0.000
21-sep-1996,0,0.000
22-sep-1996,0,0.000
23-sep-1996,0,4.500
24-sep-1996,0,1.400
25-sep-1996,0,2.800
26-sep-1996,0,1.800
27-sep-1996,1,0.400
28-sep-1996,1,7.100
29-sep-1996,1,0.300
30-sep-1996,1,5.900
01-oct-1996,1,6.000
02-oct-1996,1,1.700
03-oct-1996,1,3.000
04-oct-1996,1,2.000
05-oct-1996,1,0.900
06-oct-1996,1,0.100
07-oct-1996,4,0.000
08-oct-1996,0,0.000
09-oct-1996,0,0.000
10-oct-1996,4,0.000
11-oct-1996,0,7.500
12-oct-1996,0,22.200
13-oct-1996,0,8.600
14-oct-1996,0,3.200
15-oct-1996,0,2.700
16-oct-1996,0,0.200
17-oct-1996,0,19.700
18-oct-1996,0,4.400
19-oct-1996,0,20.500
20-oct-1996,0,3.500
21-oct-1996,0,4.100
22-oct-1996,0,7.800
23-oct-1996,0,2.100
24-oct-1996,0,15.900
25-oct-1996,0,6.300
26-oct-1996,0,9.600
27-oct-1996,0,12.700
28-oct-1996,0,3.600
29-oct-1996,0,0.000
30-oct-1996,0,11.400
31-oct-1996,0,0.200
01-nov-1996,0,3.600
02-nov-1996,0,0.600
03-nov-1996,0,11.100
04-nov-1996,0,0.200
05-nov-1996,0,3.600
06-nov-1996,0,0.400
07-nov-1996,0,0.300
08-nov-1996,0,0.100
09-nov-1996,4,0.000
10-nov-1996,0,14.600
11-nov-1996,0,0.100
12-nov-1996,0,0.000
13-nov-1996,0,0.000
14-nov-1996,0,0.000
15-nov-1996,0,0.400
16-nov-1996,0,0.000
17-nov-1996,4,0.000
18-nov-1996,0,25.100
19-nov-1996,0,0.600
20-nov-1996,0,0.100
21-nov-1996,0,0.000
22-nov-1996,4,0.000
23-nov-1996,0,15.600
24-nov-1996,0,7.800
25-nov-1996,1,0.100
26-nov-1996,1,35.700
27-nov-1996,0,1.800
28-nov-1996,0,8.400
29-nov-1996,1,0.500
30-nov-1996,1,2.700
01-dec-1996,4,0.000
02-dec-1996,0,16.900
03-dec-1996,4,0.000
04-dec-1996,0,0.100
05-dec-1996,0,0.600
06-dec-1996,0,2.600
07-dec-1996,0,0.100
08-dec-1996,0,0.300
09-dec-1996,4,0.000
10-dec-1996,0,0.300
11-dec-1996,0,0.100
12-dec-1996,4,0.000
13-dec-1996,0,0.100
14-dec-1996,0,0.000
15-dec-1996,0,1.000
16-dec-1996,0,8.000
17-dec-1996,0,14.500
18-dec-1996,0,0.300
19-dec-1996,0,0.000
20-dec-1996,0,2.000
21-dec-1996,0,1.800
22-dec-1996,0,0.000
23-dec-1996,0,0.100
24-dec-1996,0,0.000
25-dec-1996,0,0.000
26-dec-1996,0,1.300
27-dec-1996,0,0.000
28-dec-1996,0,0.700
29-dec-1996,0,0.000
30-dec-1996,0,0.300
31-dec-1996,0,0.800
01-jan-1997,0,0.300
02-jan-1997,0,0.000
03-jan-1997,0,0.200
04-jan-1997,0,0.000
05-jan-1997,0,0.000
06-jan-1997,0,0.000
07-jan-1997,0,0.000
08-jan-1997,4,0.000
09-jan-1997,0,0.000
10-jan-1997,0,16.600
